timestamp,llm_provider,llm_model,code_sample,crate_name_correct,year_correct,has_cve_correct,cve_tp,cve_fn,cve_fp
2025-05-28T17:34:49.057140+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0001/vuln-function,True,True,True,[],['CVE-2019-16140'],['CVE-2020-36205']
2025-05-28T17:34:51.503325+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0001/vuln-file,True,True,True,['CVE-2019-16140'],[],[]
2025-05-28T17:34:55.908542+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0001/vuln-crate,True,True,True,[],['CVE-2019-16140'],['CVE-2020-36205']
2025-05-28T17:34:58.772493+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0001/fixed-function,True,True,True,['CVE-2019-16140'],[],[]
2025-05-28T17:35:01.743165+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0001/fixed-file,True,True,True,['CVE-2019-16140'],[],[]
2025-05-28T17:35:06.557209+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0001/fixed-crate,True,True,True,[],['CVE-2019-16140'],['CVE-2020-36205']
2025-05-28T17:35:17.616391+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0002/vuln-crate,True,True,True,['CVE-2020-35711'],[],[]
2025-05-28T17:35:28.764935+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0002/vuln-function,True,True,True,['CVE-2020-35711'],[],[]
2025-05-28T17:35:40.934939+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0002/fixed-crate,True,True,True,['CVE-2020-35711'],[],[]
2025-05-28T17:35:51.920704+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0002/fixed-function,True,True,True,['CVE-2020-35711'],[],[]
2025-05-28T17:35:56.937656+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0003/vuln-crate,True,True,False,[],['CVE-2018-21000'],[]
2025-05-28T17:36:01.648349+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0003/vuln-file,True,True,True,[],['CVE-2018-21000'],['CVE-2019-15544']
2025-05-28T17:36:03.419419+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0003/vuln-function,True,True,True,[],['CVE-2018-21000'],['CVE-2019-15544']
2025-05-28T17:36:08.752937+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0003/fixed-crate,True,True,False,[],['CVE-2018-21000'],[]
2025-05-28T17:36:13.220054+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0003/fixed-file,True,True,True,[],['CVE-2018-21000'],['CVE-2019-15544']
2025-05-28T17:36:15.062038+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0003/fixed-function,True,True,True,[],['CVE-2018-21000'],['CVE-2020-36205']
2025-05-28T17:36:21.924968+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0004/vuln-crate,True,True,False,[],['CVE-2020-35891'],[]
2025-05-28T17:36:26.000810+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0004/vuln-file,True,True,False,[],['CVE-2020-35891'],[]
2025-05-28T17:36:28.879307+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0004/vuln-function,True,True,True,[],['CVE-2020-35891'],['CVE-2020-36205']
2025-05-28T17:36:30.626175+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0005/vuln-function,True,True,True,[],['CVE-2020-35916'],['CVE-2019-16138']
2025-05-28T17:36:40.878742+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0005/vuln-file,True,True,True,[],['CVE-2020-35916'],['CVE-2020-35909']
2025-05-28T17:36:44.414050+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0005/fixed-function,True,True,True,[],['CVE-2020-35916'],['CVE-2019-16138']
2025-05-28T17:36:53.799700+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0005/fixed-file,True,True,True,[],['CVE-2020-35916'],['CVE-2019-16138']
2025-05-28T17:38:01.045997+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0006/vuln-crate,True,True,True,['CVE-2021-25900'],[],[]
2025-05-28T17:38:07.190227+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0006/vuln-file,True,True,True,['CVE-2021-25900'],[],[]
2025-05-28T17:38:10.880437+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0006/vuln-function,True,True,True,['CVE-2021-25900'],[],"['CVE-2018-20991', 'CVE-2019-15554', 'CVE-2021-28033']"
2025-05-28T17:38:19.794646+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0006/fixed-crate,True,True,True,['CVE-2021-25900'],[],[]
2025-05-28T17:38:34.430048+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0006/fixed-file,True,True,True,['CVE-2021-25900'],[],[]
2025-05-28T17:38:37.501870+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0006/fixed-function,True,True,True,['CVE-2021-25900'],[],[]
2025-05-28T17:38:43.441906+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0007/vuln-crate,True,True,False,[],['CVE-2020-35890'],[]
2025-05-28T17:38:47.336881+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0007/vuln-file,True,True,False,[],['CVE-2020-35890'],[]
2025-05-28T17:38:49.859510+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0007/vuln-function,True,True,True,[],['CVE-2020-35890'],['CVE-2020-36205']
2025-05-28T17:38:53.905497+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0009/vuln-crate,True,True,False,[],['CVE-2020-36432'],[]
2025-05-28T17:38:57.754989+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0009/vuln-file,True,True,True,[],['CVE-2020-36432'],['CVE-2020-36205']
2025-05-28T17:39:04.643141+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0009/vuln-function,True,True,True,[],['CVE-2020-36432'],['CVE-2020-36205']
2025-05-28T17:39:20.857370+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0010/vuln-file,True,True,True,[],['CVE-2020-36204'],['CVE-2020-35711']
2025-05-28T17:39:30.484020+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0010/vuln-function,True,True,False,[],['CVE-2020-36204'],[]
2025-05-28T17:40:16.672386+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0010/fixed-file,True,True,True,[],['CVE-2020-36204'],['CVE-2020-35711']
2025-05-28T17:40:24.145123+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0010/fixed-function,True,True,False,[],['CVE-2020-36204'],[]
2025-05-28T17:40:32.442766+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0012/vuln-crate,True,True,False,[],['CVE-2020-36215'],[]
