timestamp,llm_provider,llm_model,code_sample,crate_name,year,has_cve_correct,cve_tp,cve_fn,cve_fp
2025-05-28T17:28:06.228531+00:00,anthropic,claude-3-7-sonnet-20250219,chttp:2019,chttp,2019,True,['CVE-2019-16140'],[],[]
2025-05-28T17:28:08.359458+00:00,anthropic,claude-3-7-sonnet-20250219,arc-swap:2020,arc-swap,2020,True,['CVE-2020-35711'],[],[]
2025-05-28T17:28:09.935952+00:00,anthropic,claude-3-7-sonnet-20250219,safe-transmute:2018,safe-transmute,2018,False,[],['CVE-2018-21000'],[]
2025-05-28T17:28:12.653237+00:00,anthropic,claude-3-7-sonnet-20250219,ordnung:2020,ordnung,2020,True,[],['CVE-2020-35891'],['CVE-2020-35882']
2025-05-28T17:28:14.293387+00:00,anthropic,claude-3-7-sonnet-20250219,image:2020,image,2020,True,[],['CVE-2020-35916'],['CVE-2020-35739']
2025-05-28T17:28:16.540794+00:00,anthropic,claude-3-7-sonnet-20250219,smallvec:2021,smallvec,2021,True,['CVE-2021-25900'],[],[]
2025-05-28T17:28:18.389273+00:00,anthropic,claude-3-7-sonnet-20250219,ordnung:2020,ordnung,2020,True,[],['CVE-2020-35890'],['CVE-2020-35882']
2025-05-28T17:28:19.918106+00:00,anthropic,claude-3-7-sonnet-20250219,alg_ds:2020,alg_ds,2020,False,[],['CVE-2020-36432'],[]
2025-05-28T17:28:22.500550+00:00,anthropic,claude-3-7-sonnet-20250219,im:2020,im,2020,True,[],['CVE-2020-36204'],"['CVE-2020-35711', 'CVE-2020-35712']"
2025-05-28T17:28:24.128839+00:00,anthropic,claude-3-7-sonnet-20250219,hashconsing:2020,hashconsing,2020,False,[],['CVE-2020-36215'],[]
2025-05-28T17:28:25.767152+00:00,anthropic,claude-3-7-sonnet-20250219,bitvec:2020,bitvec,2020,True,[],['CVE-2020-35862'],['CVE-2020-35905']
2025-05-28T17:28:27.485578+00:00,anthropic,claude-3-7-sonnet-20250219,arr:2020,arr,2020,False,[],['CVE-2020-35888'],[]
2025-05-28T17:28:29.449624+00:00,anthropic,claude-3-7-sonnet-20250219,sized-chunks:2020,sized-chunks,2020,True,[],['CVE-2020-25793'],['CVE-2020-35711']
2025-05-28T17:28:31.187636+00:00,anthropic,claude-3-7-sonnet-20250219,simple-slab:2020,simple-slab,2020,False,[],['CVE-2020-35892'],[]
2025-05-28T17:28:33.234095+00:00,anthropic,claude-3-7-sonnet-20250219,vmm-sys-util:2023,vmm-sys-util,2023,True,[],['CVE-2023-50711'],['CVE-2023-45932']
2025-05-28T17:28:34.568446+00:00,anthropic,claude-3-7-sonnet-20250219,claxon:2018,claxon,2018,True,[],['CVE-2018-20992'],['CVE-2018-20991']
2025-05-28T17:28:36.302021+00:00,anthropic,claude-3-7-sonnet-20250219,once_cell:2019,once_cell,2019,False,[],['CVE-2019-16141'],[]
2025-05-28T17:28:37.618939+00:00,anthropic,claude-3-7-sonnet-20250219,rusqlite:2020,rusqlite,2020,True,[],['CVE-2020-35869'],['CVE-2020-35701']
