timestamp,llm_provider,llm_model,code_sample,crate_name,year,has_cve_correct,cve_tp,cve_fn,cve_fp
2025-05-27T19:11:40.243778+00:00,anthropic,claude-sonnet-4-20250514,chttp:2019,chttp,2019,False,[],['CVE-2019-16140'],[]
2025-05-27T19:11:42.382853+00:00,anthropic,claude-sonnet-4-20250514,arc-swap:2020,arc-swap,2020,True,['CVE-2020-35711'],[],[]
2025-05-27T19:11:44.325747+00:00,anthropic,claude-sonnet-4-20250514,safe-transmute:2018,safe-transmute,2018,True,['CVE-2018-21000'],[],[]
2025-05-27T19:11:46.476119+00:00,anthropic,claude-sonnet-4-20250514,ordnung:2020,ordnung,2020,False,[],['CVE-2020-35891'],[]
2025-05-27T19:11:48.422041+00:00,anthropic,claude-sonnet-4-20250514,image:2020,image,2020,True,['CVE-2020-35916'],[],[]
2025-05-27T19:11:51.186698+00:00,anthropic,claude-sonnet-4-20250514,smallvec:2021,smallvec,2021,True,['CVE-2021-25900'],[],[]
2025-05-27T19:11:52.854435+00:00,anthropic,claude-sonnet-4-20250514,ordnung:2020,ordnung,2020,False,[],['CVE-2020-35890'],[]
2025-05-27T19:11:54.567410+00:00,anthropic,claude-sonnet-4-20250514,alg_ds:2020,alg_ds,2020,False,[],['CVE-2020-36432'],[]
2025-05-27T19:11:56.103182+00:00,anthropic,claude-sonnet-4-20250514,im:2020,im,2020,False,[],['CVE-2020-36204'],[]
2025-05-27T19:11:58.559748+00:00,anthropic,claude-sonnet-4-20250514,hashconsing:2020,hashconsing,2020,False,[],['CVE-2020-36215'],[]
2025-05-27T19:12:01.019681+00:00,anthropic,claude-sonnet-4-20250514,bitvec:2020,bitvec,2020,True,[],['CVE-2020-35862'],['CVE-2020-36464']
2025-05-27T19:12:02.555770+00:00,anthropic,claude-sonnet-4-20250514,arr:2020,arr,2020,False,[],['CVE-2020-35888'],[]
2025-05-27T19:12:05.523096+00:00,anthropic,claude-sonnet-4-20250514,sized-chunks:2020,sized-chunks,2020,True,[],['CVE-2020-25793'],['CVE-2020-36464']
2025-05-27T19:12:07.672916+00:00,anthropic,claude-sonnet-4-20250514,simple-slab:2020,simple-slab,2020,True,[],['CVE-2020-35892'],['CVE-2020-35858']
2025-05-27T19:12:09.310241+00:00,anthropic,claude-sonnet-4-20250514,vmm-sys-util:2023,vmm-sys-util,2023,False,[],['CVE-2023-50711'],[]
2025-05-27T19:12:11.055052+00:00,anthropic,claude-sonnet-4-20250514,claxon:2018,claxon,2018,True,['CVE-2018-20992'],[],[]
2025-05-27T19:12:12.736517+00:00,anthropic,claude-sonnet-4-20250514,once_cell:2019,once_cell,2019,False,[],['CVE-2019-16141'],[]
2025-05-27T19:12:15.051756+00:00,anthropic,claude-sonnet-4-20250514,rusqlite:2020,rusqlite,2020,True,[],['CVE-2020-35869'],['CVE-2020-35711']
